Categoria_Participante,Contribuicao_Link,Contribuicoes_N/A,Contribuicoes_N/C,Contribuicoes_N/D,Contribuicoes_Nao,Contribuicoes_Numero,Contribuicoes_Parcialmente,Contribuicoes_Sim,Estatal,ID_Interno,Link Resultado,Link_Anexo_1,Link_Anexo_2,Link_Anexo_3,Link_Anexo_4,PF_Vinculado_Ocupacao,Personalidade,Pontos_de_Atencao_para_o_Regulacao_em_Numeros_Contribuicoes,Quem,Sub_sub_subcategoria_Participante,Sub_subcategoria_Participante,Subcategoria_Participante
Ator governamental,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,1.0,1,,,Sim,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Julinho Lopes (N/A),PJ,,Câmara de Vereadores Rio Claro,,Municipal,Legislativo
Ator governamental,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,1,1.0,,Sim,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Leandro Zanini (N/A),PJ,,DAE Americana (Departamento de Água e Esgoto de Americana),,Municipal,Entidade do poder executivo
Órgãos intersetoriais,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,1,1.0,,Não,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Marco Antônio dos Santos (N/A)),,"Esta contribuição foi realizada em conjunto com a SANASA, mas foi desmembrada.","Comitês PCJ (Comitês das Bacias Hidrográficas dos Rios Piracicaba, Capivari e Jundiaí e Comitê da Bacia Hidrográfica dos Rios Piracicaba e Jaguari)",,,Entidade formuladora de política
Agente econômico regulado,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,1.0,2,1.0,,Sim,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Marco Antônio dos Santos (N/A); Paulo Tinel (N/A),PJ,,SANASA (Sociedade de Abastecimento de Água e Saneamento S/A),,,Abastecimento público e esgotamento sanitário
Ator governamental,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,1.0,1,,,Sim,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Michel Metran da Silva (N/A),PJ,,GAEMA PCJ-Piracicaba (Grupo de Atuação Especializada em Meio Ambiente do Ministério Público PCJ-Piracicaba),,Estadual,Ministério Público
Entidade Representativa,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,1,1.0,,Não,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Nelson Neves Barbosa (N/A),PJ,,Sindicato Rural Campinas,,,Agricultura e/ou pecuária
Entidade Representativa,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,1.0,1,,,Sim,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Paulo Tinel (N/A),PJ,,ASSEMAE (Associação Nacional dos Serviços Municipais de Saneamento),,,Abastecimento público e esgotamento sanitário
Ator governamental,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,1,,1.0,Sim,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Alessandra Facciolli (N/A),PJ,,MPSP (Ministério Público do estado de São Paulo),,Estadual,Ministério Público
Outros,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,1,1.0,,Sim,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Tereza Penteado (N/A),PJ,,Movimento Resgate Cambuí,,,Organização de defesa de direitos
Outros,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,1,1.0,,Não,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Tiago Lira (N/A),PJ,,Frente Popular Defesa da Água,,,Organização de defesa de direitos
Ator governamental,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,1.0,1,,,Sim,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Tiago Valentim Georgette (N/A),PJ,"Esta contribuição foi realizada em conjunto com a SANASA, mas foi desmembrada.",Prefeitura de Limeira,,Executivo Municipal,Entidade do Poder Executivo
Órgãos intersetoriais,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,1.0,1,,,Não,ANA_2014_Audiência Pública nº 001/2014_9,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Tiago Valentim Georgette (N/A),PJ,,Câmara Técnica Educação Ambiental - Comitês PCJ,,,Entidade formuladora de política
N/C,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=57,,,,,1,1.0,,N/C,ANA_2014_Audiência Pública nº 001/2014_10,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Jesus Luciano da Costa (N/A),N/C,,MS,N/C,N/C,N/C
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=57,,,,1.0,1,,,Não,ANA_2014_Audiência Pública nº 001/2014_10,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Nelson Luiz Neves Barbosa (N/A),PJ,,Sindicato Rural de Campinas,,,Agricultura e/ou pecuária
Órgãos intersetoriais,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=57,,,,14.0,22,6.0,2.0,Não,ANA_2014_Audiência Pública nº 001/2014_10,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Paulo Miguel Francisco (N/A); Andrea Borges (N/A),,,Consórcio PCJ,,,Entidade formuladora de política
Órgãos intersetoriais,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=57,,,,3.0,5,1.0,1.0,Não,ANA_2014_Audiência Pública nº 001/2014_10,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,N/D,,,Comitê da Bacia Hidrográfica do Alto Tietê,,,Entidade formuladora de política
Órgãos intersetoriais,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=57,,,,13.0,27,9.0,5.0,Não,ANA_2014_Audiência Pública nº 001/2014_10,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,N/D,,,"Comitês PCJ (Comitês das Bacias Hidrográficas dos Rios Piracicaba, Capivari e Jundiaí e Comitê da Bacia Hidrográfica dos Rios Piracicaba e Jaguari)",,,Entidade formuladora de política
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=57,,,,,1,1.0,,Não,ANA_2014_Audiência Pública nº 001/2014_10,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Guilherme Barbosa Checco (N/A),PJ,,Instituto Democracia e Sustentabilidade,,,Organização de defesa de direitos
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=57,,,1.0,,1,,,Sim,ANA_2014_Audiência Pública nº 001/2014_10,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Carlos Henrique da Silva (N/A),PJ,"A Agência não apresentou justificativa para a contribuição proposta. Nesse caso, a contribuição foi indicada como N/D.",Câmara Municipal de Bom Jesus dos Perdões,,Municipal,Legislativo
Órgãos intersetoriais,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=57,,,,1.0,3,2.0,,Não,ANA_2014_Audiência Pública nº 001/2014_10,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Milena Candido da Silva (N/A),,,COMDEMA Piracaia (Conselho Municipal de Defesa do Meio Ambiente),,,Entidade formuladora de política
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=57,,,,,1,1.0,,Sim,ANA_2014_Audiência Pública nº 001/2014_10,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,José Silvino Cintra (N/A),PJ,,Município de Piracaia,,Municipal,Entidade do poder executivo
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=57,,,,,1,1.0,,Não,ANA_2014_Audiência Pública nº 001/2014_10,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,Olavo Alberto Prates Sachs (N/A),PJ,,Associação dos Engenheiros da SABESP,,,Engenheiro
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=57,,,1.0,10.0,19,6.0,2.0,Sim,ANA_2014_Audiência Pública nº 001/2014_10,http://audienciapublica.ana.gov.br/arquivos/Aud_001_2014_Relatorios_da_Analise_das_Contribuicoes_da_Audiencia_Publica_nro_1_2014.pdf,,,,,N/D,PJ,"A Agência não apresenta justificativa para uma das contribuição propostas. Nesse caso, a contribuição foi indicada como N/D.",GAEMA PCJ-Piracicaba (Grupo de Atuação Especializada em Meio Ambiente do Ministério Público PCJ-Piracicaba),,Estadual,Ministério Público
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=57,,,,1.0,1,,,Não,ANA_2014_Audiência Pública nº 001/2014_10,,,,,,Bonfilio Alves Ferreira (N/A),PJ,,IFPP (Instituto de Ferrovias e Preservação do Patrimônio),,,Instituição de ensino e/ou pesquisa
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=57,,,,1.0,1,,,Não,ANA_2014_Audiência Pública nº 001/2014_10,,,,,,Bonfilio Alves Ferreira (N/A),PJ,,IPEH (Instituto de Pesquisa em Ecologia Humana),,,Instituição de ensino e/ou pesquisa
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=39,2.0,,,,2,,,Sim,ANA_2014_Audiência Pública nº 002/2014_11,http://audienciapublica.ana.gov.br/te_audiencia.php?id_audiencia=39,,,,,Marco Neves; Maurício Andrés (N/A),PJ,"Constava como justitificativa do aproveitamento das contribuições ""não se aplica"", foi considerado para fins da análise como ""N/A"".",ANA (Agência Nacional de Águas),,,Própria Agência
N/C,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=39,,,,1.0,1,,,N/C,ANA_2014_Audiência Pública nº 002/2014_11,http://audienciapublica.ana.gov.br/te_audiencia.php?id_audiencia=39,,,,,Luiz Alberto Rodrigues Dourado (N/A),N/C,,ACV MC- GACG CBHSF,N/C,N/C,N/C
Órgãos intersetoriais,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=39,,,,,1,1.0,,Não,ANA_2014_Audiência Pública nº 002/2014_11,http://audienciapublica.ana.gov.br/te_audiencia.php?id_audiencia=39,,,,,Célia Fróes (N/A),PJ,,Agência Peixe Vivo,,,Entidade implementadora de política pública
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=39,1.0,,,3.0,19,15.0,,Não,ANA_2014_Audiência Pública nº 002/2014_11,http://audienciapublica.ana.gov.br/te_audiencia.php?id_audiencia=39,,,,,Wagner Soares Costa (N/A); Deivid Lucas de Oliveira (N/A); Guilherme da Mata Zanforlin (N/A); Ione Lewicki Cunha Mello (N/A); Túlio Pereira de Sá (N/A); Odorico Pereira de Araujo (N/A); Adriano Scarpa Tonaco (N/A); Denise Bernardes Couto (N/A); Henrique Soares (N/A); Suzana Ribeiro Ferreira (N/A); Rone Frank Silva (N/A); Thiago Alves Nascimento (N/A); Breno Aguiar de Paula (N/A); Silvia de Freitas Xavier (N/A); Laene Fonseca Vilas Boas (N/A);,PJ,"Em uma das contribuições constava como justificativa do seu aproveitamento ""não se aplica"", foi considerado para fins da análise como ""N/A"".",FIEMG (Federação das Indústrias de Minas Gerais),,,Indústria
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=39,,,,,2,2.0,,Não,ANA_2014_Audiência Pública nº 002/2014_11,http://audienciapublica.ana.gov.br/te_audiencia.php?id_audiencia=39,,,,,Francielle Oliveira Silva (N/A),PJ,,FIEMG VALE DO RIO GRANDE (Federação das Indústrias de Minas Gerais),,,Indústria
Órgãos intersetoriais,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=39,,,,1.0,4,1.0,2.0,Não,ANA_2014_Audiência Pública nº 002/2014_16,http://audienciapublica.ana.gov.br/te_audiencia.php?id_audiencia=39,,,,,Ivens de Oliveira (N/A),PJ,,Fundação Agência das Bacias PCJ,,,Entidade implementadora de política pública
N/D,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=43,,,,,1,,1.0,N/D,ANA_2015_Audiência Pública nº 001/2015_12,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=43,,,,,Alexandre Vaz de Melo (N/A),N/D,,N/D,N/D,N/D,N/D
N/D,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=43,,,,1.0,1,,,N/D,ANA_2015_Audiência Pública nº 001/2015_12,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=43,,,,,Alexandre Vaz de Melo (N/A),N/D,,N/D,N/D,N/D,N/D
N/D,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=43,,,,,1,,1.0,N/D,ANA_2015_Audiência Pública nº 001/2015_12,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=43,,,,,Alexandre Vaz de Melo (N/A),N/D,,N/D,N/D,N/D,N/D
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=43,,,,1.0,6,3.0,2.0,Não,ANA_2015_Audiência Pública nº 001/2015_12,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=43,,,,,Flávio Antônio Neiva (N/A),PJ,,ABRAGE (Associação Brasileira das Empresas Geradoras de Energia),,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=43,,,,1.0,6,5.0,,Sim,ANA_2015_Audiência Pública nº 001/2015_12,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=43,,,,,Joviano Miguel da Fonseca (N/A),PJ,,CAESB (Companhia de Saneamento Ambiental do Distrito Federal),,,Abastecimento público e esgotamento sanitário
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=43,,,,,1,1.0,,Não,ANA_2015_Audiência Pública nº 001/2015_12,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=43,,,,,Bruno Neves (N/A),PJ,,Light,,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=43,,,,,1,,1.0,Sim,ANA_2015_Audiência Pública nº 001/2015_12,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=43,,,,,Ademar de Brito Filho (N/A),PJ,,FURNAS (Furnas Centrais Elétricas S.A),,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=44,,,,1.0,9,,8.0,Sim,ANA_2015_Audiência Pública nº 002/2015_13,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=44,,,,,Julio Cesar Pinfari (N/A),PJ,"As contribuições foram realizadas em conjunto com a CESP, mas foram desmembradas",CEMIG (Companhia Energética de Minas Gerais S.A.),,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=44,,,,1.0,9,,8.0,Sim,ANA_2015_Audiência Pública nº 002/2015_13,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=44,,,,,Julio Cesar Pinfari (N/A),PJ,,CESP (Companhia Energética de São Paulo),,,Hidrelétrica
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=45,,,,5.0,41,7.0,29.0,Não,ANA_2015_Audiência Pública nº 003/2015_14,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=45,,,,,Flávio Antônio Neiva (N/A),PJ,,ABRAGE (Associação Brasileira das Empresas Geradoras de Energia),,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=45,,,,,2,,2.0,Não,ANA_2015_Audiência Pública nº 003/2015_14,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=45,,,,,Bruno Neves (N/A),PJ,,Light,,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=45,,,,8.0,8,,,Sim,ANA_2015_Audiência Pública nº 003/2015_14,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=45,,,,,Adriana Verchai de Lima Lobo (N/A),PJ,,SANEPAR (Companhia de Abastecimento do Paraná),,,Abastecimento público e esgotamento sanitário
N/D,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=46,,,,,1,,1.0,N/D,ANA_2015_Audiência Pública nº 004/2015_15,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=46,,,,,Bruno Neves (N/A),N/D,,N/D,N/D,N/D,N/D
N/D,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=46,,,,,1,,1.0,N/D,ANA_2015_Audiência Pública nº 004/2015_15,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=46,,,,,Bruno Neves (N/A),N/D,,N/D,N/D,N/D,N/D
N/D,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=46,,,,,1,,1.0,N/D,ANA_2015_Audiência Pública nº 004/2015_15,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=46,,,,,Bruno Neves (N/A),N/D,,N/D,N/D,N/D,N/D
N/D,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=46,,,,,1,,1.0,N/D,ANA_2015_Audiência Pública nº 004/2015_15,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=46,,,,,Bruno Neves (N/A),N/D,,N/D,N/D,N/D,N/D
N/D,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=46,,,,1.0,1,,,N/D,ANA_2015_Audiência Pública nº 004/2015_15,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=46,,,,,Bruno Neves (N/A),N/D,,N/D,N/D,N/D,N/D
N/D,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=46,,,,,1,1.0,,N/D,ANA_2015_Audiência Pública nº 004/2015_15,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=46,,,,,Bruno Neves (N/A),N/D,,N/D,N/D,N/D,N/D
N/D,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=46,,,,,1,1.0,,N/D,ANA_2015_Audiência Pública nº 004/2015_15,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=46,,,,,Bruno Neves (N/A),N/D,,N/D,N/D,N/D,N/D
N/D,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=46,,,,1.0,1,,,N/D,ANA_2015_Audiência Pública nº 004/2015_15,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=46,,,,,Bruno Neves (N/A),N/D,,N/D,N/D,N/D,N/D
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=46,,,,14.0,39,5.0,20.0,Não,ANA_2015_Audiência Pública nº 004/2015_15,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=46,,,,,Flávio Antônio Neiva (N/A),PJ,,ABRAGE (Associação Brasileira das Empresas Geradoras de Energia),,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=46,,,,18.0,44,10.0,16.0,Sim,ANA_2015_Audiência Pública nº 004/2015_15,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=46,,,,,Joviano Miguel da Fonseca (N/A),PJ,,CAESB (Companhia de Saneamento Ambiental do Distrito Federal),,,Abastecimento público e esgotamento sanitário
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=46,,,,12.0,33,12.0,9.0,Sim,ANA_2015_Audiência Pública nº 004/2015_15,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=46,,,,,João Miguel Nicolau Neto (N/A); Wong Sui Tung (N/A); Doralice Lemos (N/A),PJ,,SABESP (Companhia de Saneamento Básico do Estado de São Paulo),,,Abastecimento público e esgotamento sanitário
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=46,,,,1.0,1,,,Sim,ANA_2015_Audiência Pública nº 004/2015_15,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=46,,,,,Mario Neto (N/A),PJ,,"SEIRHMACT (Secretaria de Infraestrutura, Meio Ambiente, Ciência e Tecnologia e de Recursos Hídricos)",,Executivo Estadual,Entidade do Poder Executivo
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=47,,,,13.0,24,1.0,10.0,Não,ANA_2015_Audiência Pública nº 005/2015_16,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=47,,,,,Flávio Antônio Neiva (N/A),PJ,,ABRAGE (Associação Brasileira das Empresas Geradoras de Energia),,,Hidrelétrica
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=47,,,,5.0,15,1.0,9.0,Sim,ANA_2015_Audiência Pública nº 005/2015_16,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=47,,,,,João Miguel Nicolau Neto (N/A); Doralice Lemos (N/A); Wong Sui Tung (N/A),PJ,,SABESP (Companhia de Saneamento Básico do Estado de São Paulo),,,Abastecimento público e esgotamento sanitário
N/D,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=48,,,,,1,,1.0,N/D,ANA_2015_Audiência Pública nº 006/2015_17,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=48,,,,,Bruno Neves (N/A),N/D,,N/D,N/D,N/D,N/D
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=47,,,,5.0,16,2.0,9.0,Não,ANA_2015_Audiência Pública nº 006/2015_17,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=48,,,,,Flávio Antônio Neiva (N/A),PJ,,ABRAGE (Associação Brasileira das Empresas Geradoras de Energia),,,Hidrelétrica
Ator governamental,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=47,,,,2.0,2,,,Sim,ANA_2015_Audiência Pública nº 006/2015_17,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=48,,,,,Joanes Silvestre da Cruz (N/A),PJ,,DNPM (Departamento Nacional de Produção Mineral),,Federal,Entidade do poder executivo
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=47,,,,1.0,5,1.0,3.0,Sim,ANA_2015_Audiência Pública nº 006/2015_17,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=48,,,,,João Miguel Nicolau Neto (N/A); Wong Sui Tung (N/A); Doralice Lemos (N/A),PJ,,SABESP (Companhia de Saneamento Básico do Estado de São Paulo),,,Abastecimento público e esgotamento sanitário
Entidade Representativa,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=49,,,,13.0,51,4.0,34.0,Não,ANA_2015_Audiência Pública nº 007/2015_18,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=49,,,,,Flávio Antônio Neiva (N/A),PJ,,ABRAGE (Associação Brasileira das Empresas Geradoras de Energia),,,Hidrelétrica
N/C,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=49,,,,,1,,1.0,N/C,ANA_2015_Audiência Pública nº 007/2015_18,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=49,,,,,Margarida Arismente Araújo Lima (N/A),N/C,,CEUCLAR,N/C,N/C,N/C
Outros,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=49,,,,2.0,2,,,Não,ANA_2015_Audiência Pública nº 007/2015_18,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=49,,,,,Ana Mikella da Silva Levino (N/A),PJ,,UNESA (Universidade Estácio de Sá),,,Instituição de ensino e pesquisa
Agente econômico regulado,http://audienciapublica.ana.gov.br/te_contribuicao.php?idAudiencia=49,,,,1.0,1,,,Sim,ANA_2015_Audiência Pública nº 007/2015_18,http://audienciapublica.ana.gov.br/resultado.php?idAudiencia=49,,,,,Celso Jose Pries Filho (N/A),PJ,,FURNAS (Furnas Centrais Elétricas S.A),,,Hidrelétrica
